  ,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
,Variables,Description,FineRec: Exploring Fine-grained Sequential Recommendation,"Sequential Recommendation with Latent Relations based on
Large Language Model","Reinforcement Learning-based Recommender Systems with
Large Language Models for State Reward and Action Modeling",Enhancing Sequential Recommenders with Augmented Knowledge from Aligned Large Language Models,Large Language Models for Intent-Driven Session Recommendations,LLaRA: Large Language-Recommendation Assistant,Let Me Do It For You: Towards LLM Empowered Recommendation via Tool Learning,TALLRec: An Effective and Efficient Tuning Framework to Align Large Language Model with Recommendation,ReLand: Integrating Large Language Models’ Insights into Industrial Recommenders via a Controllable Reasoning Pool,CALRec: Contrastive Alignment of Generative LLMs for Sequential Recommendation,Distillation Matters: Empowering Sequential Recommenders to Match the Performance of Large Language Models,User Knowledge Prompt for Sequential recommendatiom,TLRec: A Transfer Learning Framework to Enhance Large Language Models for Sequential Recommendation Tasks,Enhancing Sequential Recommender with Large Language Models for Joint Video and Comment Recommendation,GenSAR: Unifying Balanced Search and Recommendation with Generative Retrieval,Heterogeneous User Modeling for LLM-based Recommendation,LLM-RecG: A Semantic Bias-Aware Framework for Zero-Shot Sequential Recommendation,"MoRE: A Mixture of Reflectors Framework for Large Language
Model-Based Sequential Recommendation","Not Just What, But When: Integrating Irregular Intervals to LLM for Sequential Recommendation",LLMRec: Large Language Models with Graph Augmentation for Recommendation,AgentCF: Collaborative Learning with Autonomous Language Agents for Recommender Systems,Harnessing Large Language Models for Text-Rich Sequential Recommendation,Collaborative Large Language Model for Recommender Systems,Unleash LLMs Potential for Sequential Recommendation by Coordinating Dual Dynamic Index Mechanism,Bridging Items and Language: A Transition Paradigm for Large Language Model-Based Recommendation,Large Language Models meet Collaborative Filtering: An Efficient All-round LLM-based Recommender System,Collaborative Large Language Models and Sequential Recommendation Models for Device-Cloud Recommendation,"LLM2Rec: Large Language Models Are Powerful Embedding Models for Sequential Recommendation
",Lost in Sequence: Do Large Language Models Understand Sequential Recommendation?,X-Cross: Dynamic Integration of Language Models for Cross-Domain Sequential Recommendation,"Pre-train, Align, and Disentangle: Empowering Sequential Recommendation with Large Language Models",SEALR: Sequential Emotion-Aware LLM-Based Personalized Recommendation System,Large Language Models for Next Point-of-Interest Recommendation,SeCor: Aligning Semantic and Collaborative Representations by Large Language Models for Next-Point-of-Interest Recommendations,Beyond Visit Trajectories: Enhancing POI Recommendation via LLM-Augmented Text and Image Representations,"EmbSum: Leveraging the Summarization Capabilities of Large Language Models for Content-Based Recommendations
","ONCE: Boosting Content-based Recommendation with Both Open- and Closed-source Large Language Models
",Behavior Alignment: A New Perspective of Evaluating LLM-based Conversational Recommendation Systems,Unleashing the Retrieval Potential of Large Language Models in Conversational Recommender Systems,Towards Empathetic Conversational Recommender Systems,Reindex-Then-Adapt: Improving Large Language Models for Conversational Recommendation,Adapting Large Vision-Language Models to Visually-Aware Conversational Recommendation,Data-efficient Fine-tuning for LLM-based Recommendation,Explainable CTR prediction via LLM reasoning,ReLLa: Retrieval-enhanced Large Language Models for Lifelong Sequential Behavior Comprehension in Recommendation,"Multi-Layer Ranking with Large Language Models for News
Source Recommendation","LANCE: Exploration and Reflection for LLM-based Textual
Attacks on News Recommender Systems
",Generative News Recommendation,"Multi-Interest Matching for Personalized News Recommendation
with Large Language Models",Adaptive In-Context Learning with Large Language Models for Bundle Generation,Consistent Explainers or Unreliable Narrators? Understanding LLM-generated Group Recommendations,Fairness Matters: A look at LLM-generated group recommendations,Large Language Model Simulator for Cold-Start Recommendation,DLCRec: A Novel Approach for Managing Diversity in LLM-Based Recommender System,"LLM4Rerank: LLM-based Auto-Reranking Framework for
Recommendations","Is ChatGPT Fair for Recommendation? Evaluating Fairness in
Large Language Model Recommendation",G-Refer: Graph Retrieval-Augmented Large Language Model for Explainable Recommendation,RecExplainer: Aligning Large Language Models for Explaining Recommendation Models,Large Language Models as Evaluators for Recommendation Explanations,Large Language Models are Learnable Planners for Long-Term Recommendation,SlateLLM: Distilling LLM Semantics into Session-Aware Slate Recommendation without Inference Overhead,Instructing and Prompting Large Language Models for Explainable Cross-domain Recommendations,Lasso: Large Language Model-based User Simulator for Cross-Domain Recommendation,Large Language Model driven Policy Exploration for Recommender Systems
RS,Task,,Sequential recommendation,Sequential recommendation,Sequential recommendation,Sequential recommendation,Sequential recommendation,Sequential recommendation,Sequential recommedation,"Sequential recommendation, Cross-domain generalization",Top-N,Sequential recommendation,Sequential recommendation,Sequentail recommendation,"Sequential recommendation, Cross domain recommendation",Sequential recommendation,Sequential recommendation,Sequential recommendation,"Sequential recommendation, Cross domain recommendation",Sequential recommendation,Sequential recommendation,Top-n recommendation,Sequential recommender systems,Sequential recommendation,Top-N,Sequential recommendation,Sequential recommendation,Sequential recommendation,Top-N,Sequential recommendation (in-domain and out-of-domain),Sequential recommendation,"Sequential recommendation, Cross domain recommedation",Sequential recommendation,Sequential recommendation,Point of interest recommendation,Point of interest recommendation,Point of interest recommendation,Content-based recommendation,Content-based recommendation,Conversational Recommendation Systems,Conversational Recommendation Systems,Conversational Recommendation Systems,Conversational Recommendation Systems,Conversational Recommendation Systems,Sequential recommendation,Click-Through Rate,Click-Through Rate,News recommendation,News recommendation,News recommendation,News recommendation,Bundle recommendation,Group recommendation,Group recommendations,Top-N,Diversity,Diversity,Fairness,Explainable recommendation,"Explainable AI, sequential recommendation",Explainable AI,"Long-Term Recommendation
",Session-Aware Slate Recommendation,Cross-domain Recommendations,Cross-domain Recommendations,Sequential recommendation
,Authors,,"Xiaokun Zhang, Bo Xu, Youlin Wu, Yuan Zhong, Hongfei Lin, Fenglong Ma","Shenghao Yang, Weizhi Ma, Peijie Sun, Qingyao Ai, Yiqun Liu, Mingchen Cai, Min Zhang","Jie Wang, Alexandros Karatzoglou, Ioannis Arapakis, Joemon M. Jose","Yankun Ren, Zhongde Chen, Xinxing Yang
, Longfei Li, Cong Jiang, Lei Cheng, Bo Zhang, Linjian Mo, Jun Zhou","Zhu Sun, Hongyang Liu, Xinghua Qu, Kaidong Feng, Yan Wang, Yew-Soon Ong","Jiayi Liao, Sihang Li, Zhengyi Yang, Jiancan Wu, Yancheng Yuan, Xiang Wang, Xiangnan He","Yuyue Zhao, Jiancan Wu, Xiang Wang, Wei Tang, Dingxian Wang, Maarten de Rijke","Keqin Bao, Jizhi Zhang, Yang Zhang, Wenjie Wang, Fuli Feng, Xiangnan He","Changxin Tian, Binbin Hu, Chunjing Gan, Haoyu Chen, Zhuo Zhang, Li Yu, Ziqi Liu, Zhiqiang Zhang, Jun Zhou, Jiawei Chen","Yaoyiran Li, Xiang Zhai, Moustafa Alzantot, Keyi Yu, Ivan Vulić, Anna Korhonen, Mohamed Hammad","Yu Cui, Feng Liu, Pengbo Wang, Bohao Wang, Heng Tang, Yi Wan, Jun Wang, Jiawei Chen","Yuuki Tachioka, ","Jiaye Lin, Shuang Peng, Zhong Zhang, Peilin Zhao","Bowen Zheng , Zihan Lin , Enze Liu , Chen Yang , Enyang Bai , Cheng Ling , Wayne Xin Zhao , Ji-Rong Wen","Teng Shi, Jun Xu, Xiao Zhang, Xiaoxue Zang, Kai Zheng, Yang Song, Enyun Yu","Honghui Bao, Wenjie Wang, Xinyu Lin, Fengbin Zhu, Teng Sun, Fuli Feng, Tat-Seng Chua","Yunzhe Li, Junting Wang, Hari Sundaram, Zhining Liu","Weicong Qin, Yi Xu, Weijie Yu, Chenglei Shen, Xiao Zhang, Ming He, Jianping Fan, Jun Xu","Wei-Wei Du, Takuma Udagawa, Kei Tateno","Wei Wei, Xubin Ren, Jiabin Tang, Qinyong Wang, Lixin Su, Suqi Cheng, Junfeng Wang, Dawei Yin, Chao Huang","Junjie Zhang, Yupeng Hou, Ruobing Xie, Wenqi Sun, Julian McAuley, Wayne Xin Zhao, Leyu Lin, Ji-Rong Wen","Zhi Zheng, Wenshuo Chao, Zhaopeng Qiu, Hengshu Zhu, Hui Xiong","Yaochen Zhu, Liang Wu, Qi Guo, Liangjie Hong, Jundong Li","un Yin, Zhengxin Zeng, Mingzheng Li, Hao Yan, Chaozhuo Li, Weihao Han, Jianjin Zhang, Ruochen Liu, Hao Sun, Weiwei Deng","Xinyu Lin, Wenjie Wang, Yongqi Li, Fuli Feng, See-Kiong Ng, Tat-Seng Chua","Sein Kim, Hongseok Kang, Seungyoon Choi, Donghyun Kim, Minchul Yang, Chanyoung Park","Zheqi Lv, Tianyu Zhan, Wenjie Wang, Xinyu Lin, Shengyu Zhang, Wenqiao Zhang, Jiwei Li, Kun Kuang, Fei Wu","Yingzhi He, Xiaohao Liu, An Zhang, Yunshan Ma, Tat-Seng Chua","Sein Kim, Hongseok Kang, Kibum Kim, Jiwan Kim, Donghyun Kim, Minchul Yang, Kwangjin Oh, Julian McAuley, Chanyoung Park","Guy Hadad, Haggai Roitman, Yotam Eshel, Bracha Shapira, Lior Rokach","Yuhao Wang, Junwei Pan, Pengyue Jia, Wanyu Wang, Maolin Wang, Zhixiang Feng, Xiaotian Li, Jie Jiang, Xiangyu Zhao","Namjun Lee, Jaekwang Kim","Peibo Li, Maarten de Rijke, Hao Xue, Shuang Ao, Yang Song, Flora D. Salim","Shirui Wang, Bohan Xie, Ling Ding, Xiaoying Gao, Jianting Chen, Yang Xiang","Zehui Wang, Wolfram Höpken, Dietmar Jannach","Chiyu Zhang, Yifei Sun, Minghao Wu, Jun Chen, Jie Lei, Muhammad Abdul-Mageed, Rong Jin, Angli Liu, Ji Zhu, Sem Park, Ning Yao, Bo Long","Qijiong Liu, Nuo Chen, Tetsuya Sakai, Xiao-Ming Wu","Dayu Yang, Fumian Chen, Hui Fang","Ting Yang, Li Chen","Xiaoyu Zhang, Ruobing Xie, Yougang Lyu, Xin Xin, Pengjie Ren, Mingfei Liang, Bo Zhang, Zhanhui Kang, Maarten de Rijke, Zhaochun Ren","Zhankui He, Zhouhang Xie, Harald Steck, Dawen Liang, Rahul Jha, Nathan Kallus, Julian McAuley","Hyunsik Jeon, Satoshi Koide, Yu Wang, Zhankui He, Julian McAuley","Xinyu Lin, Wenjie Wang, Yongqi Li, Shuo Yang, Fuli Feng, Yinwei Wei, Tat-Seng Chua","Xiaohan Yu, Li Zhang, Chong Chen","Jianghao Lin, Rong Shan, Chenxu Zhu, Kounianhua Du, Bo Chen, Shigang Quan, Ruiming Tang, Yong Yu, Weinan Zhang","Wenjia Zhang, Lin Gui, Rob Procter, Yulan He","Yuyue Zhao, Jin Huang, Shuchang Liu, Jiancan Wu, Xiang Wang, Maarten de Rijke","Shen Gao, Jiabao Fang, Quan Tu, Zhitao Yao, Zhumin Chen, Pengjie Ren, Zhaochun Ren"," Hongxiang Lin, Yixiao Zhou, Huiying Hu, Xiaoqing Lyu","Zhu Sun, Kaidong Feng, Jie Yang, Xinghua Qu, Hui Fang, Yew-Soon Ong, Wenyuan Liu","Cedric Waterschoot, Nava Tintarev, Francesco Barile",Antonela Tommasel,"Feiran Huang, Yuanchen Bei, Zhenghang Yang, Junyi Jiang, Hao Chen, Qijie Shen, Senzhang Wang, Fakhri Karray, Philip S. Yu","Jiaju Chen, Chongming Gao, Shuai Yuan, Shuchang Liu, Qingpeng Cai, Peng Jiang","Jingtong Gao, Bo Chen, Weiwen Liu, Xiangyang Li, Yichao Wang, Wanyu Wang, Huifeng Guo, Ruiming Tang, Xiangyu Zhao","Jizhi Zhang, Keqin Bao, Yang Zhang, Wenjie Wang, Fuli Feng, Xiangnan He","Yuhan Li, Xinni Zhang, Linhao Luo, Heng Chang, Yuxiang Ren, Irwin King, Jia Li","Yuxuan Lei, Jianxun Lian, Jing Yao, Xu Huang, Defu Lian, Xing Xie","Xiaoyu Zhang, Yishan Li, Jiayin Wang, Bowen Sun, Weizhi Ma, Peijie Sun, Min Zhang","Wentao Shi, Xiangnan He, Yang Zhang, Chongming Gao, Xinyue Li, Jizhi Zhang, Qifan Wang, Fuli Feng","Aayush Roy, Elias Tragos, Aonghus Lawlor, Neil Hurley","Alessandro Petruzzelli, Cataldo Musto, Lucrezia Laraspata, Ivan Rinaldi, Marco de Gemmis, Pasquale Lops","Yue Chen, Susen Yang, Tong Zhang, Chao Wang, Mingyue Cheng, Chenyi Lei, Han Li","Jie Wang, Alexandros Karatzoglou, Ioannis Arapakis, Joemon M. Jose"
,Country,,"China, USA",China,"UK, Spain",China,"Singapore, Australia, China",China,"China, Netherlands, Australia","China, Singapore",China,"UK, USA",China,Japan,China,China,China,"Singapore, China",USA,China,Japan,China,"USA, China","China, Hong Kong",USA,China,Singapore,Republic of Korea,"China, Singapore","Singapore, China","Republic of Korea, USA",Israel,China,South korea,"Australia, Netherlands",China,"Germany, Austria","USA, Canada, UAE","China, Japan",USA,China,"China, Netherlands",USA,"USA, Japan","Australia, China, Singapore","China, UK",China,UK,"China, USA, UK, Netherlands","China, Netherlands",China,"Singapore, China, Netherlands",Netherlands,Argentina,China,China,China,"Singapore, China",China,China,China,"China, USA",Ireland,Italy,China,"UK, Spain"
,University,,"Dalian University of Technology, Pennsylvania State University","Tsinghua University, Meituan","University of Glasgow, Amazon, Telefonia Research center",Ant Group,"A*STAR Centre for Frontier AI Research, Macquarie University, Shanda Group AI Lab,  Tianqiao and Chrissy Chen Institute, Yanshan University",University of Science and Technology of China,"University of Amsterdam, University of Science and Technology of China, University of Technology Sydney","University of Science and Technology
of China, National University of Singapore","Ant Group, Zhejiang University","University of Cambridge, Google","Zhejiang University, OPPO Research Institute Shenzhen, University of Electronic Science and Technology of China ","Denso IT Laboratory","Tsinghua University, Zhejiang Lab, Tencent AI Lab","Renmin University of China, Kuaishou Technology","Renmin University of China, Kuaishou Technology","University of Science and Technology of China, National University of Singapore",University of Illinois,"Renmin University of China, University of International Business and Economics Beijing, Lenovo Research",Sony Group Corporation,"University of Hong Kong, Baidu Inc","Renmin University of China, UC San Diego, Tencent","University of Science and Technology of China, Career Science Lab, Kong University of Science and
Technology ","LinkedIn Inc., University of Virginia","Central South University
Changsha, Microsoft AI",National University of Singapore,"Korea Advanced Institute of Science and Technology, NAVER Corporation","Zhejiang University, National University of Singapore","National University of Singapore, University of Science and Technology of China, Singapore Management University","KAIST, NAVER Corperation, University of California San Diego","Ben-Gurion University of the Negev Beer Sheva, eBay","City University of Hong Kong Hong Kong, Tencent Inc",Sungkyunkwan University,"University of New South Wales, University of Amsterdam",Tongji University,"University of Applied Sciences Ravensburg-Weingarten Weingarten, University of Klagenfurt","University of British, Meta AI, MBZUAI","The Hong Kong Polytechnic University, Waseda University",University of Delaware,Hong Kong Baptist University,"Shandong University, Tencent, University of Amsterdam, Leiden University
","University of California, Netflex","University of California, Google, Toyota Motor Corporation ","National University of Singapore, The University of Hong Kong, University of Science and Technology, Monash University","Huawei Cloud BU,Institute of Finance Technology","Shanghai Jiao Tong University, Huawei Noah’s Ark Lab","University of Warwick, King’s College London","University of Science and Technology of China, University of Cambridge, Rutgers University, University of Amsterdam","University of Electronic Science and Technology of China, Shandong University, Renmin University of China, Leiden University",Peking University,"University of Technology and Design Singapore, Yanshan University, Delft University of Technology,  Tianqiao and Chrissy Chen Institute Singapore, Shanghai University of Finance and Economics Shanghai, Nanyang Technological University",Maastricht University,ISISTAN institute,"Jinan University, Zhejiang University, City University of Macau, Alibaba group, Central South University, Mohamed Bin Zayed University of Artificial Intelligence, University of Illinois Chicago","University of Science and Technology of China, Hong Kong University of Science and Technology","City University of Hong Kong, Huawei Noah’s Ark Lab","University of Science and Technology of China, National University of Singapore","The Hong Kong University of Science and Technology, The Chinese University of Hong Kong, Monash University, Huawei Technologies","University of Science and Technology of China, Microsoft AI",Tsinghua University,"University of Science and Technology of China, Meta AI",University College Dublin,University of Bari ,"Sichuan University, kuaishou Technology, University of Science and Technology of China","University of Glasgow, Amazon, Telefonica Research"
,Repository link,Is a link to an online source code repository provided?,Yes,"Yes, ReChorus library is considered to implemented the proposed and baseline models",the shared link points to the empty GitHub repo,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,"Leads to empty repo, Link is shared but leads to empty repo",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Expired link,Yes,No,No
,Proposal model(s),Is source code for the proposed model(s) provided in the repository?,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Partial,Yes,No,Partial,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Partial,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No
,Baseline model(s),Is source code for the baseline model(s) provided in the repository?,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Partial,Partial,No,No,No,No,No,No,No,Partial,No,No,No,No,No,No,Yes,No,No,N/A,No,No,No,No,No,No,No,No,No,No,No,No,No,N/A,No,Yes,No,N/A,No,Yes,N/A,No,No,No,No,No
,Hyperparameter-tuning code,Is source code for the tuning process provided in the repository?,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,N/A,No,No,Fix the hyperparameters,No,No,No,No,No,No,No,No,Partial,No,Fix the hyperparameters,No,Yes,Fix the hyperparameters,Fix the hyperparameters,N/A,Fix the hyperparameters,Fix the hyperparameters,No,Partial,Yes,No,Partial,No,No,Fix the hyperparameters,No,No,N/A,N/A,No,No,No,N/A,Fix the hyperparameters,No,N/A,Fix the hyperparameters,Fix the hyperparameters,Fix the hyperparameters,No,No
,Data preprocessing,Is source code for data preprocessing provided in the repository?,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Partial,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No
